,"""Nearly Headless"" Nick",Albus Dumbledore,Alicia Spinnet,Angelina Johnson,Argus Filch,Arthur Weasley,Bathilda Bagshot,Blaise Zabini,Charlie Weasley,Cornelius Fudge,Dean Thomas,Dedalus Diggle,Dennis Creevey,Draco Malfoy,Dudley Dursley,Fred Weasley,George Weasley,Ginevra Weasley,Godric Gryffindor,Gregory Goyle Jr,Gregory Goyle Sr,Hannah Abbott,Harry Potter,Helena Ravenclaw,Hermione Granger,James Potter,Justin Finch-Fletchley,Katie Bell,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Madam Malkin,Madam Rosmerta,Marcus Flint,Marjorie Dursley,Mary Cattermole,Mary Riddle,Millicent Bulstrode,Minerva McGonagall,Molly Weasley,Neville Longbottom,Newt Scamander,Nicolas Flamel,Oliver Wood,Pansy Parkinson,Parvati Patil,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Regulus Arcturus Black,Ronald Weasley,Rubeus Hagrid,Seamus Finnigan,Severus Snape,Sirius Black,Susan Bones,Ted Tonks,Teddy Lupin,Terry Boot,Tom Riddle,Vernon Dursley,William Weasley
"""Nearly Headless"" Nick",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206479978355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albus Dumbledore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333333333,0.0,0.0,0.0,0.138819875776,0.0572873168498,0.8,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0397982804233,0.0,-0.155555555556,0.0,0.261785714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178869047619,0.0588699494949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alicia Spinnet,0.0,0.0,0.0,0.265384615385,0.0,0.265384615385,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.265384615385,0.265384615385,0.254700854701,0.0,0.0,0.0,0.0,0.154567307692,0.0,0.0,0.0,0.183141025641,0.0,0.0,0.0,0.0,0.0,0.0,0.191506410256,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385
Angelina Johnson,0.0,0.0,0.265384615385,0.0,0.0,0.265384615385,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.265384615385,0.265384615385,0.632692307692,0.0,0.0,0.0,0.0,0.506153846154,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385
Argus Filch,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,-0.2,0.0,0.0,0.0,0.0,-0.0111796296296,-0.0245209339775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0101851851852,-0.2,-0.075,0.0,-0.45,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.147333333333,-0.00416666666667,0.0,0.0511904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
Arthur Weasley,0.0,0.0,0.265384615385,0.265384615385,-0.2,0.0,0.0,1.0,0.102437958089,0.2,0.0,0.0,0.0,-0.0416666666667,0.0,0.102562230462,0.097693421233,0.100496650256,0.382692307692,0.0,0.0,0.0,0.161827916352,0.0955351592852,0.00850340136054,0.0,0.0,0.265384615385,0.0,0.15,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.102818424707,-0.0361111111111,0.0,0.0,0.265384615385,0.0,0.0,0.113134794845,0.0,0.0,0.0,0.0,0.126888933261,-0.0361111111111,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10259033047
Bathilda Bagshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blaise Zabini,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Charlie Weasley,0.0,0.0,0.265384615385,0.265384615385,-0.2,0.102437958089,0.0,1.0,0.0,0.2,0.0,0.0,0.0,-0.0277777777778,0.0,0.102436219128,0.0978107048991,0.100467997357,0.382692307692,0.0,0.0,0.0,0.125645124717,0.0915811965812,0.00850340136054,0.0,0.0,0.265384615385,0.0,0.15,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.100831394371,-0.0361111111111,0.0,0.0,0.265384615385,0.0,0.0,0.112196595213,0.0,0.0,0.0,0.0,0.11434875686,-0.0544444444444,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0985988122694
Cornelius Fudge,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.164285714286,0.145714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Dean Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0412698412698,0.0,0.0,0.0,0.0747619047619,0.00396825396825,0.5,0.457142857143,0.0,0.0,0.0,0.0,0.457142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.166666666667,-0.166666666667,0.0208333333333,0.0,0.375,0.0,-0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dedalus Diggle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Creevey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Draco Malfoy,0.0,0.0,0.0,0.0,0.0,-0.0416666666667,0.0,0.0,-0.0277777777778,0.0,0.0,0.0,0.0,0.0,-0.2,0.00902777777778,0.00902777777778,-0.0416666666667,-0.075,-0.028869047619,-0.028869047619,0.0,0.00692403628118,0.0248466435185,0.0290674603175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.161111111111,-0.0416666666667,-0.0591198979592,0.0,0.0,0.0,0.0,0.0,-0.0416666666667,-0.11875,0.0,-0.173611111111,-0.173611111111,0.0572222222222,0.0545634920635,0.0,-0.0866666666667,-0.173611111111,0.0,0.0,0.0,0.0,0.0,0.0,-0.0416666666667
Dudley Dursley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262846412846,0.0159946813181,0.0,-0.0305555555556,0.0,0.0,0.05,0.0,-0.0305555555556,0.625,0.0,0.0,0.0,0.00684785452643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108473172173,0.0,0.0,0.05,-0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00462055556967,0.0
