,"""Nearly Headless"" Nick",Albus Dumbledore,Alicia Spinnet,Angelina Johnson,Argus Filch,Arthur Weasley,Bathilda Bagshot,Blaise Zabini,Charlie Weasley,Cornelius Fudge,Dean Thomas,Dedalus Diggle,Dennis Creevey,Draco Malfoy,Dudley Dursley,Fred Weasley,George Weasley,Ginevra Weasley,Godric Gryffindor,Gregory Goyle Jr,Gregory Goyle Sr,Hannah Abbott,Harry Potter,Hermione Granger,James Potter,Justin Finch-Fletchley,Katie Bell,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Madam Malkin,Madam Rosmerta,Marcus Flint,Marjorie Dursley,Mary Cattermole,Mary Riddle,Millicent Bulstrode,Minerva McGonagall,Molly Weasley,Neville Longbottom,Newt Scamander,Nicolas Flamel,Oliver Wood,Pansy Parkinson,Parvati Patil,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Regulus Arcturus Black,Ronald Weasley,Rubeus Hagrid,Seamus Finnigan,Severus Snape,Sirius Black,Susan Bones,Ted Tonks,Teddy Lupin,Terry Boot,Tom Riddle,Vernon Dursley,William Weasley
"""Nearly Headless"" Nick",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albus Dumbledore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.655555555556,0.0,0.0,0.0,0.360981711525,1.0,0.245833333333,0.0,0.0,0.0,0.0,0.245833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311375661376,0.0,0.288888888889,0.0,0.482857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455952380952,0.339898989899,0.0,0.357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alicia Spinnet,0.0,0.0,0.0,0.419230769231,0.0,0.419230769231,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.419230769231,0.419230769231,0.444919278253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489551282051,0.0,0.0,0.0,0.0,0.0,0.0,0.490675451092,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231
Angelina Johnson,0.0,0.0,0.419230769231,0.0,0.0,0.419230769231,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.419230769231,0.419230769231,0.709615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419230769231
Argus Filch,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.350326851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332407407407,0.6,0.25,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.502,0.6,0.0,0.178571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Arthur Weasley,0.0,0.0,0.419230769231,0.419230769231,0.6,0.0,0.0,1.0,0.27834981856,0.2,0.0,0.0,0.0,0.291666666667,0.0,0.283296252188,0.270100483417,0.275425321358,0.459615384615,0.0,0.0,0.0,0.297771478962,0.538860544218,0.25,0.0,0.419230769231,0.0,0.4,0.25,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.268082407519,0.252777777778,0.0,0.0,0.419230769231,0.0,0.0,0.28731208657,0.0,0.0,0.0,0.0,0.276535217776,0.252777777778,0.616666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281163348887
Bathilda Bagshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blaise Zabini,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Charlie Weasley,0.0,0.0,0.419230769231,0.419230769231,0.6,0.27834981856,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.194444444444,0.0,0.280839059457,0.268230967311,0.272996937434,0.459615384615,0.0,0.0,0.0,0.342994331066,0.538860544218,0.25,0.0,0.419230769231,0.0,0.4,0.25,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.261433664125,0.252777777778,0.0,0.0,0.419230769231,0.0,0.0,0.282861223244,0.0,0.0,0.0,0.0,0.267884729434,0.251111111111,0.616666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266589643455
Cornelius Fudge,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.537946428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
