,"""Nearly Headless"" Nick",Albus Dumbledore,Alicia Spinnet,Angelina Johnson,Argus Filch,Arthur Weasley,Charlie Weasley,Colin Creevey,Cornelius Fudge,Dean Thomas,Draco Malfoy,Dudley Dursley,Ernie Macmillan,Fluffy,Frank Bryce,Frank Longbottom,Fred Weasley,George Weasley,Gilderoy Lockhart,Ginevra Weasley,Godric Gryffindor,Hannah Abbott,Harry Potter,Helga Hufflepuff,Hermione Granger,Justin Finch-Fletchley,Katie Bell,Lavender Brown,Lee Jordan,Lord Voldemort,Lucius Malfoy,Madam Malkin,Madam Rosmerta,Mafalda Hopkirk,Marcus Flint,Marvolo Gaunt,Mary Cattermole,Mary Riddle,Millicent Bulstrode,Minerva McGonagall,Molly Weasley,Mundungus Fletcher,Neville Longbottom,Newt Scamander,Oliver Wood,Parvati Patil,Penelope Clearwater,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Regulus Arcturus Black,Ronald Weasley,Rowena Ravenclaw,Rubeus Hagrid,Salazar Slytherin,Seamus Finnigan,Severus Snape,Teddy Lupin,Tom Riddle,Vernon Dursley,William Weasley
"""Nearly Headless"" Nick",0.0,0.0,0.0,0.0,0.167857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0559523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0333333333333,0.0,0.0876488095238,0.0,0.175,0.107465277778,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00555555555556,0.00555555555556,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albus Dumbledore,0.0,0.0,0.0,0.0,0.5,0.00714285714286,0.00714285714286,0.0,0.00546875,0.0,-0.121964285714,0.0,0.0,0.0,0.0,0.0,0.00714285714286,0.00714285714286,0.0466666666667,0.052380952381,0.0833333333333,0.0,0.119836172409,-0.166666666667,-0.0833333333333,-0.166666666667,0.0,0.0,0.0,0.452380952381,0.00151785714286,-0.125,-0.125,0.0,0.0,0.0,0.0,0.214166666667,0.0,0.107083333333,-0.0371428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.00714285714286,0.0,0.0,0.0466666666667,0.0466666666667,0.003663003663,0.0,0.0919198913332,0.34,0.0,0.35,0.0,0.294166666667,0.0,0.00714285714286
Alicia Spinnet,0.0,0.0,0.0,0.0,0.0,0.0388528138528,0.0388528138528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388528138528,-0.0185425685426,0.0,0.0388528138528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388528138528,0.0,0.0,0.0,-0.269480519481,0.0,0.0,0.0388528138528,0.0,0.0,0.0,0.0,0.0388528138528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388528138528
Angelina Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argus Filch,0.167857142857,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,-0.0666666666667,0.0,0.0,0.0,0.056954887218,0.0,0.233333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.283333333333,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.00694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arthur Weasley,0.0,0.00714285714286,0.0388528138528,0.0,0.0,0.0,0.0411766375701,-0.366666666667,0.0,0.0,0.0296464646465,0.0,0.0,0.0,0.0,0.0,0.03597996633,0.0381394998567,0.1125,0.0371301704675,-0.0777777777778,0.0,0.0752265902266,-0.155555555556,0.42037037037,0.0,0.0,0.0,-0.237037037037,0.0,0.0128787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357281887362,0.0,0.0,0.0,0.211038961039,0.0,0.0,0.0386395499593,0.0,0.0,0.0,0.0,0.0436754329004,-0.155555555556,0.05625,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0407314847315
Charlie Weasley,0.0,0.00714285714286,0.0388528138528,0.0,0.0,0.0411766375701,0.0,-0.366666666667,0.0,0.0,0.0305735930736,0.0,0.0,0.0,0.0,0.0,0.0298196443196,0.0320888628676,0.1125,0.0314948446615,-0.0777777777778,0.0,0.0732469431154,-0.155555555556,0.42037037037,0.0,0.0,0.0,-0.237037037037,0.0,0.0126683501684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0280961126416,0.0,0.0,0.0,0.211038961039,0.0,0.0,0.0318928283874,0.0,0.0,0.0,0.0,0.0382600842009,-0.155555555556,0.075,0.136363636364,0.0,0.0,0.0,0.0,0.0,0.0334775361654
Colin Creevey,0.0,0.0,0.0,0.0,0.0,-0.366666666667,-0.366666666667,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,-0.366666666667,-0.366666666667,0.0,-0.243333333333,0.0,0.0,-0.0362956664147,0.0,-0.0666666666667,0.0,-0.4,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.366666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.366666666667,0.0,0.0,0.0,0.0,-0.288888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.366666666667
Cornelius Fudge,0.0,0.00546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0208333333333,0.0,0.0,0.0,0.0,-0.0416666666667,0.0,0.00961538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0151515151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0497252747253,0.0,0.0,0.0,0.111111111111,-0.0769230769231,0.0,0.0,0.0,0.0
