,"""Nearly Headless"" Nick",Albus Dumbledore,Alicia Spinnet,Angelina Johnson,Arthur Weasley,Bathilda Bagshot,Cedric Diggory,Charlie Weasley,Cho Chang,Colin Creevey,Cornelius Fudge,Dean Thomas,Draco Malfoy,Dudley Dursley,Ernie Macmillan,Fred Weasley,George Weasley,Ginevra Weasley,Gregory Goyle Jr,Gregory Goyle Sr,Hannah Abbott,Harry Potter,Helena Ravenclaw,Hermione Granger,James Potter,Katie Bell,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Lucius Malfoy,Madam Malkin,Madam Rosmerta,Marcus Flint,Marjorie Dursley,Mary Cattermole,Mary Riddle,Minerva McGonagall,Molly Weasley,Neville Longbottom,Newt Scamander,Oliver Wood,Pansy Parkinson,Parvati Patil,Penelope Clearwater,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Poppy Pomfrey,Regulus Arcturus Black,Remus Lupin,Ronald Weasley,Rubeus Hagrid,Seamus Finnigan,Severus Snape,Sirius Black,Stan Shunpike,Sybill Patricia Trelawney,Tom Riddle,Vernon Dursley,Vincent Crabbe Jr,Vincent Crabbe Sr,Walden Macnair,William Weasley
"""Nearly Headless"" Nick",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albus Dumbledore,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.32,0.0,0.0,0.177777777778,0.0,0.25,0.0,0.0,0.35,0.32,0.32,0.0,0.0,0.0,0.0799836601307,0.08,-0.015811965812,-0.0111111111111,0.0,-0.06,0.0,0.0666666666667,-0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0725,0.228571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.20873015873,0.0,0.0,-0.100529100529,0.3,-0.100529100529,0.090303030303,0.115079365079,0.25,0.0,-0.0077037037037,-0.0769841269841,0.0,0.0258333333333,0.0,0.0,0.0,0.0,0.0680555555556,0.32
Alicia Spinnet,0.0,0.0,0.0,0.00992063492063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0200892857143,0.0669642857143,0.0,0.0,0.0,0.0,0.0704365079365,0.0,0.0,0.0,0.00992063492063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angelina Johnson,0.0,0.0,0.00992063492063,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-0.0714285714286,0.0,0.0,0.164880952381,0.229761904762,0.3,0.0,0.0,0.0,0.0297619047619,0.0,0.0,0.0,0.00992063492063,0.0,0.0,0.0,0.0,-0.0714285714286,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Arthur Weasley,0.0,0.32,0.0,0.3,0.0,0.0,0.0,0.0750329105592,0.0,0.0,1.0,0.0,-0.0154761904762,0.0,0.0,0.0786336066824,0.0788730559564,0.0752848683883,0.0,0.0,0.0,0.115139490139,0.0,0.104861111111,0.0,0.0,0.0,0.0625,0.0,0.0,-0.0154761904762,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.076153770472,0.0,0.0,0.261160714286,0.0,0.0,0.0,0.0738341905009,0.1,0.0,-0.143981481481,0.0,-0.143981481481,0.0,0.0807912260781,1.0,0.0,0.0666666666667,-0.109953703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0781030859978
Bathilda Bagshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedric Diggory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126476190476,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0106547619048,0.0,0.0,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Weasley,0.0,0.32,0.0,0.3,0.0750329105592,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0154761904762,0.0,0.0,0.0743494468494,0.0746992280529,0.0706464135668,0.0,0.0,0.0,0.115139490139,0.0,0.104861111111,0.0,0.0,0.0,0.0625,0.0,0.0,-0.0154761904762,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0709731570133,0.0,0.0,0.261160714286,0.0,0.0,0.0,0.0691982481456,0.1,0.0,-0.143981481481,0.0,-0.143981481481,0.0,0.0758877465127,1.0,0.0,0.0666666666667,-0.109953703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0734572234572
Cho Chang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676136363636,0.228125,0.0,0.116666666667,-0.125,0.0,0.0,0.116666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colin Creevey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
