,"""Nearly Headless"" Nick",Aberforth Dumbledore,Alastor Moody,Albus Dumbledore,Alicia Spinnet,Amos Diggory,Angelina Johnson,Antonin Dolohov,Arabella Figg,Argus Filch,Arthur Weasley,Augustus Rookwood,Bartemius Crouch Jr,Bartemius Crouch Sr,Bertha Jorkins,Cedric Diggory,Charlie Weasley,Cho Chang,Colin Creevey,Cornelius Fudge,Cuthbert Binns,Dean Thomas,Dennis Creevey,Draco Malfoy,Dudley Dursley,Ernie Macmillan,Fleur Delacour,Frank Bryce,Frank Longbottom,Fred Weasley,Gabrielle Delacour,George Weasley,Ginevra Weasley,Godric Gryffindor,Hannah Abbott,Harry Potter,Hermione Granger,Igor Karkaroff,James Potter,Justin Finch-Fletchley,Katie Bell,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Lucius Malfoy,Ludo Bagman,Madam Malkin,Madam Rosmerta,Mary Cattermole,Mary Riddle,Minerva McGonagall,Molly Weasley,Mundungus Fletcher,Narcissa Malfoy,Neville Longbottom,Newt Scamander,Oliver Wood,Olympe Maxime,Padma Patil,Pansy Parkinson,Parvati Patil,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Poppy Pomfrey,Regulus Arcturus Black,Remus Lupin,Rita Skeeter,Ronald Weasley,Rubeus Hagrid,Seamus Finnigan,Severus Snape,Sirius Black,Stan Shunpike,Susan Bones,Sybill Patricia Trelawney,Ted Tonks,Tom Riddle,Vernon Dursley,Viktor Krum,Vincent Crabbe Jr,Vincent Crabbe Sr,William Weasley
"""Nearly Headless"" Nick",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberforth Dumbledore,0.0,0.0,30.0,550.0,0.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,21.0,23.0,3.0,9.0,6.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,7.0,2.0,7.0,6.0,0.0,0.0,130.0,17.0,21.0,7.0,0.0,1.0,0.0,0.0,7.0,17.0,1.0,11.0,5.0,6.0,0.0,0.0,11.0,8.0,0.0,1.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,3.0,0.0,6.0,5.0,6.0,0.0,6.0,22.0,19.0,0.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,6.0
Alastor Moody,0.0,30.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,8.0,11.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,7.0,5.0,1.0,0.0,100.0,10.0,7.0,13.0,0.0,3.0,2.0,0.0,13.0,5.0,5.0,3.0,5.0,6.0,0.0,0.0,7.0,6.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,19.0,9.0,0.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0
Albus Dumbledore,0.0,550.0,32.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,22.0,24.0,3.0,9.0,6.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,7.0,2.0,7.0,6.0,0.0,0.0,135.0,19.0,21.0,9.0,0.0,1.0,0.0,0.0,9.0,19.0,1.0,11.0,6.0,7.0,0.0,0.0,12.0,8.0,0.0,1.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,3.0,0.0,6.0,6.0,6.0,0.0,8.0,22.0,20.0,0.0,26.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,6.0
Alicia Spinnet,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amos Diggory,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,11.0,11.0,0.0,148.0,17.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,17.0,1.0,17.0,19.0,1.0,1.0,18.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,18.0
Angelina Johnson,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonin Dolohov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arabella Figg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argus Filch,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
