,"""Nearly Headless"" Nick",Aberforth Dumbledore,Alastor Moody,Albus Dumbledore,Alice Longbottom,Alicia Spinnet,Amelia Bones,Andromeda Tonks,Angelina Johnson,Anthony Goldstein,Antonin Dolohov,Arabella Figg,Argus Filch,Arthur Weasley,Augustus Rookwood,Bartemius Crouch Sr,Bellatrix Lestrange,Cedric Diggory,Charlie Weasley,Cho Chang,Colin Creevey,Cornelius Fudge,Dean Thomas,Dedalus Diggle,Dennis Creevey,Dilys Derwent,Dolores Umbridge,Draco Malfoy,Dudley Dursley,Elphias Doge,Emmeline Vance,Ernie Macmillan,Firenze,Fleur Delacour,Frank Bryce,Frank Longbottom,Fred Weasley,George Weasley,Gilderoy Lockhart,Ginevra Weasley,Godric Gryffindor,Gregory Goyle Jr,Gregory Goyle Sr,Hannah Abbott,Harry Potter,Hermione Granger,James Potter,Justin Finch-Fletchley,Katie Bell,Kingsley Shacklebolt,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Lucius Malfoy,Luna Lovegood,Madam Malkin,Madam Rosmerta,Mafalda Hopkirk,Marietta Edgecombe,Marjorie Dursley,Mary Cattermole,Mary Riddle,Michael Corner,Millicent Bulstrode,Minerva McGonagall,Molly Weasley,Mundungus Fletcher,Narcissa Malfoy,Neville Longbottom,Newt Scamander,Nymphadora Tonks,Oliver Wood,Olympe Maxime,Padma Patil,Pansy Parkinson,Parvati Patil,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Rabastan Lestrange,Regulus Arcturus Black,Remus Lupin,Rita Skeeter,Rodolphus Lestrange,Ronald Weasley,Rubeus Hagrid,Seamus Finnigan,Severus Snape,Sirius Black,Stan Shunpike,Sturgis Podmore,Susan Bones,Sybill Patricia Trelawney,Ted Tonks,Terry Boot,Theodore Nott,Tom Riddle,Vernon Dursley,Viktor Krum,Wilhelmina Grubbly-Plank,William Weasley,Zacharias Smith
"""Nearly Headless"" Nick",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583333333333,0.0,0.0,0.0,0.0,0.583333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583333333333,0.583333333333,0.0,0.425694444444,0.268055555556,0.0,0.0,0.0,0.144675925926,0.289351851852,0.0,0.0,0.0,0.0,0.268055555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583333333333,0.0,0.0,0.484027777778,0.0,0.0,0.0,0.0,0.268055555556,0.0,0.268055555556,0.583333333333,0.0,0.0,0.433333333333,0.0,0.433333333333,0.0,0.0,0.0,0.580787037037,0.0,0.0,0.0,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583333333333,0.0
Aberforth Dumbledore,0.0,0.0,0.355753968254,0.329901888381,0.0,0.0,0.0,0.775,0.0,0.0,0.0,0.164814814815,0.8375,0.520581008498,0.0,0.0,0.0916666666667,0.0148148148148,0.51189484127,0.0,0.0,0.287834230915,0.0,0.258333333333,0.0,0.58125,0.377338980464,0.1625,0.0,0.0,0.0,0.133333333333,0.465740740741,0.0,0.0,0.0,0.345203823954,0.440063732564,0.0,0.52341553288,0.4,0.0,0.0,0.0,0.349015432536,0.321563378142,0.236061507937,0.0,0.0,0.435802469136,0.0,0.0,0.210582010582,0.462172398589,0.193333333333,0.0,0.5375,0.5375,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.52601010101,0.47199239418,0.40625,0.1625,0.303654320988,0.0,0.766666666667,0.0,0.0,0.0,0.0,0.0,0.464900793651,0.0,0.0,0.401363636364,0.0916666666667,0.4325,0.486878306878,0.0,0.0916666666667,0.500221722722,0.271203703704,0.0,0.408687996032,0.391402486402,0.0,0.409566326531,0.0,0.6,0.775,0.0,0.0,0.5625,1.0,0.0,0.0,0.50798859127,0.0222222222222
Alastor Moody,0.0,0.355753968254,0.0,0.355753968254,0.0,0.0,0.0,0.511833333333,0.0,0.0,0.0,0.0,0.0,0.597916666667,0.0,0.0,0.0,0.0,0.630555555556,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.707142857143,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522916666667,0.522916666667,0.0,0.540476190476,0.0,0.0,0.0,0.0,0.346945446529,0.0,0.383928571429,0.0,0.0,0.524098765432,0.0,0.0,0.383928571429,0.0,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433333333333,0.0,0.0,0.616666666667,0.45,0.433333333333,0.0,0.0,0.559466666667,0.0,0.0,0.0,0.0,0.0,0.630555555556,0.0,0.0,0.51037037037,0.0,0.51037037037,0.457714285714,0.0,0.0,0.611979166667,0.556666666667,0.0,0.0,0.433656565657,0.0,0.378571428571,0.0,0.0,0.511833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.630555555556,0.0
Albus Dumbledore,0.0,0.329901888381,0.355753968254,0.0,0.0,0.0,0.0,0.775,0.0,0.0,0.0,0.205158730159,0.8375,0.520581008498,0.0,0.0,0.0916666666667,0.0148148148148,0.51189484127,0.0,0.0,0.287834230915,0.0,0.258333333333,0.0,0.58125,0.377338980464,0.1625,0.0,0.0,0.0,0.133333333333,0.465740740741,0.0,0.0,0.0,0.345203823954,0.440063732564,0.0,0.52341553288,0.4,0.0,0.0,0.0,0.355943958814,0.321563378142,0.236061507937,0.0,0.0,0.435802469136,0.0,0.0,0.210582010582,0.465609377851,0.193333333333,0.0,0.5375,0.5375,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.52601010101,0.47199239418,0.40625,0.1625,0.303654320988,0.0,0.766666666667,0.0,0.0,0.0,0.0,0.0,0.464900793651,0.0,0.0,0.493461538462,0.0916666666667,0.4325,0.486878306878,0.0,0.0916666666667,0.495481000481,0.278974358974,0.0,0.408687996032,0.392305689103,0.0,0.409566326531,0.0,0.6,0.775,0.0,0.0,0.5625,1.0,0.0,0.0,0.50798859127,0.0222222222222
Alice Longbottom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745833333333,0.0,0.0,0.11,0.0,0.745833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241013454861,0.745833333333,0.745833333333,0.0,0.591666666667,0.266111111111,0.0,0.0,0.0,0.454222222222,0.349305555556,0.445138888889,0.0,0.0,0.0,0.46,0.0,0.445138888889,0.0,0.0,0.245833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144444444444,0.745833333333,0.0,0.0,0.296919367284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.566666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745833333333,0.0
Alicia Spinnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292123015873,0.462698412698,0.0,0.0,0.0,0.514246031746,0.0,0.0,0.0,0.0,0.514246031746,0.462698412698,0.462698412698,0.0,0.462698412698,0.0,0.462698412698,0.0,0.0,0.25,0.0,0.0,0.0,0.462698412698,0.0,0.0,0.0,0.0,0.422041847042,0.470205026455,0.0,0.49951814059,0.548611111111,0.0,0.0,0.462698412698,0.27990981241,0.0,0.0,0.462698412698,0.349581128748,0.0,0.462698412698,0.449437830688,0.0,0.0,0.25,0.500158730159,0.483333333333,0.483333333333,0.0,0.0,0.0,0.0,0.0,0.462698412698,0.0,0.0,0.514246031746,0.0,0.25,0.462698412698,0.0,0.0,0.0,0.0,0.462698412698,0.0,0.462698412698,0.514246031746,0.0,0.0,0.0,0.0,0.0,0.308465608466,0.0,0.0,0.317900793651,0.0,0.0,0.591666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.542807539683,0.0,0.0,0.0,0.0,0.0,0.514246031746,0.0
Amelia Bones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.288888888889,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.705988888889,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.505,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.2,0.2,0.2,0.445388888889,0.0,0.4375,0.2,0.0,0.0,0.0,0.0,0.4375,0.0,0.2,0.0,0.398105555556,0.398105555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.433333333333,0.0,0.433333333333,0.0,0.0,0.0,0.3,0.505,0.0,0.0,0.633333333333,0.0,0.505,0.419411835749,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Andromeda Tonks,0.0,0.775,0.511833333333,0.775,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.48753968254,0.0,0.0,0.222962962963,0.0,0.438591269841,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.544841269841,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436103479853,0.436103479853,0.0,0.457080200501,0.0,0.0,0.0,0.0,0.370776565256,0.5375,0.0,0.0,0.8,0.47224691358,0.0,0.0,0.0,0.0,0.600595238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433333333333,0.0,0.0,0.406030020704,0.0,0.600595238095,0.0,0.0,0.425537436358,0.0,0.0,0.0,0.0,0.0,0.438591269841,0.0,0.3,0.337037037037,0.144444444444,0.337037037037,0.415537037037,0.0,0.144444444444,0.39253968254,0.0,0.0,0.69246031746,0.469278911565,0.0,0.0,0.5,0.0,0.421461233211,0.0,0.0,0.0,0.0,0.0,0.0,0.380697278912,0.0
Angelina Johnson,0.0,0.0,0.0,0.0,0.0,0.292123015873,0.0,0.0,0.0,0.462698412698,0.0,0.0,0.0,0.554265873016,0.0,0.0,0.0,0.0,0.554265873016,0.462698412698,0.462698412698,0.0,0.462698412698,0.0,0.462698412698,0.0,0.0,0.525,0.0,0.0,0.0,0.462698412698,0.0,0.0,0.0,0.0,0.468287037037,0.507828282828,0.0,0.392807539683,0.631944444444,0.488541666667,0.488541666667,0.462698412698,0.345233134921,0.4625,0.0,0.462698412698,0.488296750992,0.0,0.462698412698,0.442807539683,0.0,0.0,0.525,0.525132275132,0.608333333333,0.608333333333,0.0,0.0,0.0,0.0,0.0,0.231349206349,0.0,0.0,0.554265873016,0.0,0.525,0.556349206349,0.0,0.0,0.966666666667,0.0,0.462698412698,0.0,0.462698412698,0.554265873016,0.0,0.0,0.0,0.0,0.0,0.231349206349,0.0,0.0,0.3435960369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462698412698,0.0,0.0,0.0,0.0,0.0,0.554265873016,0.472916666667
Anthony Goldstein,0.0,0.0,0.0,0.0,0.0,0.462698412698,0.2,0.0,0.462698412698,0.0,0.0,0.0,0.0,0.462698412698,0.0,0.0,0.0,0.0,0.462698412698,0.462698412698,0.462698412698,0.0,0.462698412698,0.0,0.462698412698,0.0,0.571527777778,0.2,0.0,0.0,0.0,0.331349206349,0.0,0.0,0.0,0.0,0.462698412698,0.462698412698,0.0,0.462698412698,0.0,0.0666666666667,0.0666666666667,0.331349206349,0.411408730159,0.285763888889,0.0,0.331349206349,0.462698412698,0.0,0.462698412698,0.462698412698,0.0,0.0,0.2,0.462698412698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462698412698,0.0,0.0,0.462698412698,0.0,0.2,0.462698412698,0.0,0.0,0.0,0.0,0.231349206349,0.0,0.308465608466,0.462698412698,0.0,0.0,0.0,0.0,0.0,0.462698412698,0.0,0.0,0.462698412698,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.331349206349,0.0,0.0,0.0,0.0,0.0,0.462698412698,0.65625
