,"""Nearly Headless"" Nick",Albus Dumbledore,Alecto Carrow,Amelia Bones,Amycus Carrow,Arabella Figg,Argus Filch,Arthur Weasley,Augusta Longbottom,Bartemius Crouch Sr,Bellatrix Lestrange,Blaise Zabini,Cedric Diggory,Charlie Weasley,Cho Chang,Cormac McLaggen,Cornelius Fudge,Dean Thomas,Dennis Creevey,Dirk Cresswell,Dolores Umbridge,Draco Malfoy,Dudley Dursley,Emmeline Vance,Ernie Macmillan,Fenrir Greyback,Filius Flitwick,Fleur Delacour,Frank Bryce,Frank Longbottom,Fred Weasley,Gabrielle Delacour,George Weasley,Ginevra Weasley,Godric Gryffindor,Gregory Goyle Jr,Gregory Goyle Sr,Hannah Abbott,Harry Potter,Helena Ravenclaw,Helga Hufflepuff,Hepzibah Smith,Hermione Granger,Horace Slughorn,Igor Karkaroff,James Potter,Katie Bell,Kingsley Shacklebolt,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Lucius Malfoy,Luna Lovegood,Madam Malkin,Madam Rosmerta,Marcus Flint,Marietta Edgecombe,Marvolo Gaunt,Mary Cattermole,Mary Riddle,Merope Gaunt,Michael Corner,Minerva McGonagall,Molly Weasley,Morfin Gaunt,Mundungus Fletcher,Narcissa Malfoy,Neville Longbottom,Nymphadora Tonks,Pansy Parkinson,Parvati Patil,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Pomona Sprout,Regulus Arcturus Black,Remus Lupin,Rita Skeeter,Romilda Vane,Ronald Weasley,Rubeus Hagrid,Rufus Scrimgeour,Salazar Slytherin,Seamus Finnigan,Severus Snape,Sirius Black,Stan Shunpike,Susan Bones,Sybill Patricia Trelawney,Ted Tonks,Teddy Lupin,Terry Boot,Tom Riddle,Vernon Dursley,Viktor Krum,Vincent Crabbe Jr,Vincent Crabbe Sr,William Weasley,Zacharias Smith
"""Nearly Headless"" Nick",0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.1575,0.0,0.0,0.0,-0.0841666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albus Dumbledore,0.2,0.0,0.0,0.0,0.4,0.0,0.0,-0.01,0.0,0.0,0.00833333333333,0.0,0.0,-0.0375,0.0,0.3375,0.3,0.0,0.0,0.0,-0.0277777777778,0.124061379928,-0.144444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0375,0.0,-0.0375,-0.0307857142857,0.01875,0.0,0.0,0.0,0.0423764100661,0.2,0.0,-0.0625,0.0373015873016,0.104309349654,0.0,0.02,0.5,0.0,0.0,0.0,0.1125,0.147243369657,0.114412615741,0.0,0.15,0.14375,0.0,0.0,0.0,0.0,0.144922969188,0.046875,-0.05,0.264375,-0.05,0.216666666667,0.015625,0.114412615741,0.0,-0.0566666666667,0.0,0.0,-0.0375,0.0,-0.216666666667,0.0138483365127,0.25,-0.0228282470396,-0.1,0.0,0.0,0.0424019607843,0.124957912458,0.114134199134,0.0157142857143,0.0,-0.0284351206607,0.00432566881972,0.233333333333,0.0,0.213888888889,-0.0208333333333,0.0,0.0,0.144302721088,-0.169314173481,0.0,0.0,0.0,-0.05,-0.03125
Alecto Carrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0674603174603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0674603174603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amelia Bones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0494791666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amycus Carrow,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.185185185185,0.0,0.0,-0.185185185185,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-0.185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arabella Figg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.119444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.119444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.119444444444,0.0,0.0,-0.119444444444,-0.119444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.119444444444,0.0,0.0,0.0,0.0,0.0,0.0
Argus Filch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.133333333333,0.396428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0373214285714,0.0373214285714,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0461904761905,-0.0461904761905,-0.0461904761905,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.225,-0.0461904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.275,0.0,0.0
Arthur Weasley,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02286434077,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.0,0.0,0.0,0.0,0.0,-0.0563495069745,0.0,0.0,0.0209201510974,0.0,0.0235533916288,0.0255315337931,0.0,0.0,0.0,0.0,0.0359653638891,0.0,0.0,0.0,0.0108552188552,0.25,0.0,0.196464646465,0.0383116883117,0.00833333333333,-0.25,0.0,0.196464646465,0.0,0.1988,0.0,-0.0375,-0.046875,0.0,0.0,-0.25,0.0,0.0,-0.25,-0.0697916666667,-0.00114197530864,0.0197060772289,-0.25,0.0,0.0833333333333,0.0,0.00611111111111,0.0,0.0,0.0245920262718,0.0,0.0,0.00833333333333,-0.25,0.00833333333333,-0.0697916666667,0.0,0.0,0.0239058814015,0.0325,0.030303030303,0.0,0.0,-0.333333333333,0.00833333333333,0.0,0.0,0.0,0.00611111111111,-0.0527777777778,0.276623376623,0.0,0.0,0.0,0.0,0.0,0.0234387233352,0.0
Augusta Longbottom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575757575758,0.0,0.0,0.0,0.0,0.175541125541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartemius Crouch Sr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
