,"""Nearly Headless"" Nick",Aberforth Dumbledore,Alastor Moody,Albus Dumbledore,Alecto Carrow,Alicia Spinnet,Amycus Carrow,Andromeda Tonks,Angelina Johnson,Anthony Goldstein,Antioch Peverell,Ariana Dumbledore,Arthur Weasley,Bartemius Crouch Sr,Bathilda Bagshot,Beedle the Bard,Bellatrix Lestrange,Cadmus Peverell,Cedric Diggory,Charity Burbage,Charlie Weasley,Cho Chang,Colin Creevey,Dean Thomas,Dedalus Diggle,Dilys Derwent,Dirk Cresswell,Dolores Umbridge,Draco Malfoy,Dudley Dursley,Elphias Doge,Ernie Macmillan,Fenrir Greyback,Filius Flitwick,Fleur Delacour,Fred Weasley,Gabrielle Delacour,Gellert Grindelwald,George Weasley,Ginevra Weasley,Godric Gryffindor,Hannah Abbott,Harry Potter,Helena Ravenclaw,Helga Hufflepuff,Hepzibah Smith,Hermione Granger,Horace Slughorn,Ignotus Peverell,Igor Karkaroff,James Potter,Katie Bell,Kingsley Shacklebolt,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Lucius Malfoy,Luna Lovegood,Madam Malkin,Madam Rosmerta,Mafalda Hopkirk,Marvolo Gaunt,Mary Cattermole,Mary Riddle,Michael Corner,Minerva McGonagall,Molly Weasley,Mundungus Fletcher,Narcissa Malfoy,Neville Longbottom,Nicolas Flamel,Nymphadora Tonks,Oliver Wood,Padma Patil,Pansy Parkinson,Parvati Patil,Penelope Clearwater,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Pius Thicknesse,Pomona Sprout,Reginald Cattermole,Regulus Arcturus Black,Remus Lupin,Rita Skeeter,Rodolphus Lestrange,Ronald Weasley,Rowena Ravenclaw,Rubeus Hagrid,Rufus Scrimgeour,Salazar Slytherin,Seamus Finnigan,Severus Snape,Sirius Black,Stan Shunpike,Sybill Patricia Trelawney,Ted Tonks,Teddy Lupin,Terry Boot,Tom Riddle,Vernon Dursley,Viktor Krum,Walden Macnair,William Weasley,Xenophilius Lovegood,Zacharias Smith
"""Nearly Headless"" Nick",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberforth Dumbledore,0.0,0.0,0.0,0.0161431241324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157822704214,0.0215277777778,0.0,0.00899206349206,0.0193561021398,0.0166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0861111111111,0.0,0.0311448412698,0.0,0.140740740741,0.0215277777778,0.00902777777778,-0.02,0.05,-0.0183344811754,0.0,0.075,-0.0104662698413,0.0,0.0118526149776,0.0,0.0,0.0,0.028042850181,0.25,0.0,0.0,-0.0277083333333,0.0,0.0,0.0,0.0,-0.00221153846154,0.0466319444444,0.0861111111111,0.275,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.0,0.0,0.0,0.0861111111111,0.128703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215277777778,0.0,0.0,0.0496208112875,0.0680555555556,0.0,0.0,0.0574338624339,0.0,0.012445045695,0.0,0.00871467652718,0.0,-0.0708333333333,-0.0821428571429,0.0,0.0,-0.0132561383929,-0.0201379440665,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.1,0.0,-0.0145833333333,0.05,0.0
Alastor Moody,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.078162202381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0260416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128472222222,0.0,0.0,0.0,0.0,0.108928571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albus Dumbledore,0.0,0.0161431241324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155860154089,0.0,0.0,0.00077731092437,0.021217738984,0.0166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0840909090909,0.0,0.0213154761905,0.0,0.25,0.0215277777778,0.00902777777778,0.0,0.05,-0.0179250090188,0.0,0.0468253968254,-0.0115912698413,0.0,0.0115220267746,0.0,0.0,0.0,0.0339063418577,0.25,0.0,0.0,-0.0277083333333,0.0,0.0,0.0,0.0,0.0407457983193,0.0466319444444,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496208112875,0.05,0.0,0.0,0.0574338624339,0.0,0.0166937744795,0.0,0.00201273148148,0.0,-0.0708333333333,-0.0821428571429,0.0,0.0,-0.00267244397759,-0.0201379440665,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.1,0.0,-0.0145833333333,0.05,0.0
Alecto Carrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0238425925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0592592592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alicia Spinnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amycus Carrow,0.0,0.0,0.0,0.0,0.0238425925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0399016203704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00572916666667,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andromeda Tonks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0826884920635,0.0,0.0416666666667,0.0461628193961,0.0277777777778,0.0,0.0,0.0,0.050958994709,0.0,0.0,0.0,-0.0777777777778,0.0,0.176666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013458994709,0.0360164399093,0.0,0.0,0.0685846560847,0.0802234977324,0.0,0.0,0.034120228647,0.0,0.0,0.0,0.00645899470899,0.0,0.0,0.0,0.0,0.0,0.0201884920635,0.0555555555556,0.0,0.0,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100942460317,0.026917989418,0.0,-0.05,0.0,0.0362093132985,0.0,0.0,0.0,0.0,0.0,0.0826884920635,0.0,0.040376984127,0.040376984127,0.0,0.0,0.0,0.040376984127,0.0159457142857,0.0,0.0,0.0908509700176,0.0,0.00640873015873,0.0,0.0,0.0,0.0,0.0826884920635,0.0,0.0,0.0417193144499,0.0233134920635,0.0,0.0,0.0,0.0,0.0,0.0411507936508,0.0,0.0
Angelina Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Goldstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antioch Peverell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0059375,0.0,-0.0021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,-0.146875,0.0,0.0,0.0,-0.0625,0.0,0.000822368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0734375,0.0,0.0,0.0,0.0,0.0,-0.0734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ariana Dumbledore,0.0,0.0157822704214,0.0,0.0155860154089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00507076719577,0.0197140323718,0.0166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229749503968,0.0,0.25,0.0215277777778,0.00902777777778,0.0,0.05,-0.0175373298199,0.0,0.075,0.00328373015873,0.0,0.00694835039491,0.0,0.0,0.0,0.0321217975494,0.25,0.0,0.0,-0.0277083333333,0.0,0.0,0.0,0.0,-0.00221153846154,0.0466319444444,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496208112875,0.05,0.0,0.0,0.0574338624339,0.0,0.0167534955466,0.0,0.00211866471735,0.0,-0.0708333333333,-0.0821428571429,0.0,0.0,-0.0132561383929,-0.0201379440665,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.1,0.0,-0.0145833333333,0.05,0.0
Arthur Weasley,0.0,0.0215277777778,0.166666666667,0.0,0.0,0.0,0.0,0.0826884920635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0391940464258,0.15,0.0,0.0,0.0,0.0267189499403,0.0,0.0,0.0,0.0,0.0,-0.0319444444444,0.0,0.0287037037037,0.0,0.136111111111,0.0,0.0243055555556,0.0,0.0610069444444,0.0256378447727,0.0901438492063,0.0,0.0273452642247,0.0245744175145,0.0,0.0,0.038409228901,0.0,0.0,0.0,0.0498441043084,0.25,0.0,0.0,0.0,0.0,-0.0109623015873,0.0,0.0,0.0,-0.0375,0.0574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0250160684223,0.0824735449735,0.0861111111111,0.0861111111111,0.0,0.0826884920635,0.0,0.0,0.0,0.0,0.0,0.0242176410401,0.0,0.040376984127,0.040376984127,0.0861111111111,0.0,0.0,0.040376984127,0.00504712301587,0.0,0.15,0.0255654621443,0.0,0.0088104686319,0.01875,0.0,0.0,0.1175,0.0826884920635,0.0,0.0,0.0967923280423,0.0067294973545,0.0,0.0,-0.0666666666667,0.0,0.0,0.0275604340578,0.0,0.0
Bartemius Crouch Sr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bathilda Bagshot,0.0,0.00899206349206,0.0,0.00077731092437,0.0,0.0,0.0,0.0416666666667,0.0,0.0,0.0,0.00507076719577,0.0,0.0,0.0,0.0515445665446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0142857142857,0.0,0.0,0.0017094017094,0.0,0.0128846153846,0.0,0.0,0.0,0.0745265151515,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167857142857,0.0416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.275,0.0,0.0,0.0,-0.275,0.0,0.0536458333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.275,0.0,0.0,0.0416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beedle the Bard,0.003125,0.0193561021398,0.078162202381,0.021217738984,0.0301282051282,0.0,0.0399016203704,0.0461628193961,0.0,0.0,-0.0059375,0.0197140323718,0.0391940464258,0.0,0.0515445665446,0.0,-0.0137738997114,-0.0059375,-0.144444444444,0.0237847222222,0.0378317827944,-0.09375,0.133333333333,0.0464037698413,0.0865079365079,-0.0725694444444,0.0673611111111,0.0305957407407,-0.00752065472654,0.0327027260179,0.0124050453515,0.0833333333333,-0.0092211029711,0.0294876283847,0.0242662037037,0.0379656747164,0.0290598290598,-0.010305236678,0.0345376603061,0.0334840824982,0.0334289714652,0.0854308390023,0.00998361768684,0.00536057692308,-0.017962962963,0.0535833333333,0.0101881908768,0.0946428571429,0.00216040903541,0.0,0.0220848921792,0.0,-0.00474028286528,-0.06,-0.0148148148148,0.0191875063547,0.0100132233639,-0.00695914168136,0.0215294193501,0.05355854463,0.05355854463,0.074537037037,-0.0210069444444,-0.00837136243386,0.00737336601307,0.00131916529238,0.0238817911989,0.0360820261579,0.0672096560847,-0.00628632478632,0.00289530812325,0.167857142857,0.0476494324474,0.0635466269841,-0.09375,0.25,0.25,0.0,0.0295834299127,0.00111416361416,0.00615981240981,-0.00915973315405,-0.0154563492063,-0.0575520833333,0.00124402218152,-0.0295569493893,0.037927047389,0.0366056740878,0.0498701942898,0.0107737513763,0.00915229885057,0.0114828999582,-0.0238953022286,0.0529184173669,0.177097505669,0.0233259776413,-0.0206268489763,0.06,0.15625,0.0501730048501,0.042615047363,0.186916666667,0.00667270531401,-0.0153343621399,0.0105857683983,0.0,0.0274482307127,0.0107665170828,0.0460763888889
