,Harry Potter,Ronald Weasley,Hermione Granger,Albus Dumbledore,Aberforth Dumbledore,Ariana Dumbledore,Lord Voldemort,Severus Snape,Lily Potter,William Weasley,Ginevra Weasley,James Potter,Molly Weasley,Fred Weasley,George Weasley,Percy Weasley,Arthur Weasley,Charlie Weasley,Remus Lupin,Luna Lovegood,Teddy Lupin,Phineas Nigellus Black,Sirius Black,Rubeus Hagrid,Regulus Arcturus Black,Draco Malfoy,Xenophilius Lovegood,Lucius Malfoy,Godric Gryffindor,Fleur Delacour
Harry Potter,1,1,1,1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-1,1,-1,1,1
Ronald Weasley,1,1,1,1,1,0,-1,-1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,-1,0,-1,1,1
Hermione Granger,1,1,1,1,1,0,-1,-1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,-1,0,-1,1,1
Albus Dumbledore,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0
Aberforth Dumbledore,1,1,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariana Dumbledore,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lord Voldemort,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,-1,1,0,1
Severus Snape,1,1,1,1,0,0,-1,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0
Lily Potter,1,0,0,1,0,0,-1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
William Weasley,1,1,1,1,0,0,-1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,-1,0,1
Ginevra Weasley,1,1,1,1,0,0,-1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,-1,0,1
James Potter,1,0,0,1,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Molly Weasley,1,1,1,1,0,0,-1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,-1,0,1
Fred Weasley,1,1,1,1,0,0,-1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,-1,0,1
George Weasley,1,1,1,1,0,0,-1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,-1,0,1
Percy Weasley,1,1,1,1,0,0,-1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,-1,0,1
Arthur Weasley,1,1,1,1,0,0,-1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,-1,0,1
Charlie Weasley,1,1,1,1,0,0,-1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,-1,0,1
Remus Lupin,1,1,1,1,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Luna Lovegood,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Teddy Lupin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Phineas Nigellus Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirius Black,1,1,1,1,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,0,0
Rubeus Hagrid,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0
Regulus Arcturus Black,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Draco Malfoy,-1,-1,-1,1,0,0,1,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0
Xenophilius Lovegood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lucius Malfoy,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Godric Gryffindor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fleur Delacour,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
