,Albus Dumbledore,Alicia Spinnet,Angelina Johnson,Argus Filch,Arthur Weasley,Bathilda Bagshot,Charlie Weasley,Cornelius Fudge,Dean Thomas,Dedalus Diggle,Draco Malfoy,Dudley Dursley,Fred Weasley,George Weasley,Ginevra Weasley,Gregory Goyle Jr,Gregory Goyle Sr,Hannah Abbott,Harry Potter,Helena Ravenclaw,Hermione Granger,James Potter,Katie Bell,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Madam Malkin,Madam Rosmerta,Marcus Flint,Marjorie Dursley,Mary Cattermole,Mary Riddle,Minerva McGonagall,Mrs. Norris,Neville Longbottom,Newt Scamander,Nicolas Flamel,Oliver Wood,Pansy Parkinson,Parvati Patil,Percy Weasley,Peter Pettigrew,Petunia Dursley,Remus Lupin,Ronald Weasley,Rubeus Hagrid,Seamus Finnigan,Severus Snape,Sirius Black,Susan Bones,Terry Boot,Vernon Dursley,William Weasley
Albus Dumbledore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491071428571,-0.0270833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.127261904762,0.0,-0.155555555556,0.0,0.18875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.160185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alicia Spinnet,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0597756410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0597756410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angelina Johnson,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argus Filch,0.0,0.0,0.0,0.0,-0.2,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,-0.2,0.0,0.0,0.0,0.00841152263374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896666666667,0.0,0.0,-0.45,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-0.2,0.4,0.0,0.025,0.0,0.0,0.0,0.0,-0.2
Arthur Weasley,0.0,0.0,0.0,-0.2,0.0,0.0,0.0830475770555,0.0,0.0,0.0,0.0,0.0,0.0830475770555,0.0830475770555,0.0830475770555,0.0,0.0,0.0,0.499259259259,0.0,0.00850340136054,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0830475770555,0.0,0.0,0.0,0.0830475770555,-0.0722222222222,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0830475770555
Bathilda Bagshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Weasley,0.0,0.0,0.0,-0.2,0.0830475770555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0830475770555,0.0830475770555,0.0830475770555,0.0,0.0,0.0,0.499259259259,0.0,0.00850340136054,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0830475770555,0.0,0.0,0.0,0.0830475770555,-0.0361111111111,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0830475770555
Cornelius Fudge,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Dedalus Diggle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
