,"""Nearly Headless"" Nick",Albus Dumbledore,Alicia Spinnet,Angelina Johnson,Argus Filch,Arthur Weasley,Charlie Weasley,Colin Creevey,Cornelius Fudge,Dean Thomas,Draco Malfoy,Dudley Dursley,Ernie Macmillan,Fluffy,Frank Bryce,Frank Longbottom,Fred Weasley,George Weasley,Gilderoy Lockhart,Ginevra Weasley,Godric Gryffindor,Hannah Abbott,Harry Potter,Helga Hufflepuff,Hermione Granger,Justin Finch-Fletchley,Katie Bell,Lavender Brown,Lee Jordan,Lord Voldemort,Lucius Malfoy,Madam Malkin,Madam Rosmerta,Mafalda Hopkirk,Marcus Flint,Marvolo Gaunt,Mary Cattermole,Mary Riddle,Millicent Bulstrode,Minerva McGonagall,Molly Weasley,Mundungus Fletcher,Neville Longbottom,Newt Scamander,Oliver Wood,Parvati Patil,Penelope Clearwater,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Regulus Arcturus Black,Ronald Weasley,Rowena Ravenclaw,Rubeus Hagrid,Salazar Slytherin,Seamus Finnigan,Severus Snape,Teddy Lupin,Tom Riddle,Vernon Dursley,William Weasley
"""Nearly Headless"" Nick",0.0,0.0,0.0,0.0,0.367857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283333333333,0.0,0.433482142857,0.0,0.275,0.402847222222,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.559523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434722222222,0.434722222222,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albus Dumbledore,0.0,0.0,0.0,0.0,0.756944444444,0.240178571429,0.240178571429,0.0,0.313802083333,0.0,0.543869047619,0.0,0.0,0.0,0.0,0.0,0.240178571429,0.240178571429,0.255208333333,0.305476190476,0.565029761905,0.0,0.381134517357,0.276041666667,0.138020833333,0.276041666667,0.0,0.0,0.0,0.435714285714,0.467351190476,0.125,0.125,0.0,0.0,0.0,0.0,0.386666666667,0.0,0.456354166667,0.245714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.240178571429,0.0,0.0,0.446666666667,0.446666666667,0.220369098494,0.0,0.388877854713,0.483333333333,0.0,0.875,0.0,0.486666666667,0.0,0.240178571429
Alicia Spinnet,0.0,0.0,0.0,0.0,0.0,0.364231601732,0.364231601732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364231601732,0.320598845599,0.0,0.364231601732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364231601732,0.0,0.0,0.0,0.747564935065,0.0,0.0,0.364231601732,0.0,0.0,0.0,0.0,0.364231601732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364231601732
Angelina Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argus Filch,0.367857142857,0.756944444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.6,0.0,0.0,0.0,0.339235588972,0.0,0.727777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577777777778,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.355092592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arthur Weasley,0.0,0.240178571429,0.364231601732,0.0,0.0,0.0,0.308058433673,0.633333333333,0.0,0.0,0.405858585859,0.0,0.0,0.0,0.0,0.0,0.305095412458,0.304077201792,0.125,0.31159551772,0.144444444444,0.0,0.260209040209,0.288888888889,0.368518518519,0.0,0.0,0.0,0.425925925926,0.0,0.475677830941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313536211096,0.0,0.0,0.0,0.49512987013,0.0,0.0,0.313178082493,0.0,0.0,0.0,0.0,0.301966323954,0.288888888889,0.0625,0.454545454545,0.0,0.0,0.0,0.0,0.0,0.304728072228
Charlie Weasley,0.0,0.240178571429,0.364231601732,0.0,0.0,0.308058433673,0.0,0.633333333333,0.0,0.0,0.421753246753,0.0,0.0,0.0,0.0,0.0,0.300418333918,0.299265547749,0.125,0.308263600597,0.144444444444,0.0,0.253361433888,0.288888888889,0.368518518519,0.0,0.0,0.0,0.425925925926,0.0,0.491919191919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307170108631,0.0,0.0,0.0,0.49512987013,0.0,0.0,0.309695767196,0.0,0.0,0.0,0.0,0.297748407009,0.288888888889,0.0833333333333,0.454545454545,0.0,0.0,0.0,0.0,0.0,0.298627932226
Colin Creevey,0.0,0.0,0.0,0.0,0.0,0.633333333333,0.633333333333,0.0,0.0,0.0,0.816666666667,0.0,0.0,0.0,0.0,0.0,0.633333333333,0.633333333333,0.0,0.566666666667,0.0,0.0,0.47573255228,0.0,0.375,0.0,0.7,0.0,0.0,0.0,0.816666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.633333333333,0.0,0.0,0.0,0.0,0.672222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633333333333
Cornelius Fudge,0.0,0.313802083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303472222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.519444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395833333333,0.0,0.0,0.1,0.0,0.291666666667,0.0,0.108846153846,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199175824176,0.0,0.0,0.45,0.363888888889,0.269230769231,0.0,0.0,0.0,0.0
