,"""Nearly Headless"" Nick",Albus Dumbledore,Alicia Spinnet,Angelina Johnson,Arthur Weasley,Bathilda Bagshot,Cedric Diggory,Charlie Weasley,Cho Chang,Colin Creevey,Cornelius Fudge,Dean Thomas,Draco Malfoy,Dudley Dursley,Ernie Macmillan,Fred Weasley,George Weasley,Ginevra Weasley,Gregory Goyle Jr,Gregory Goyle Sr,Hannah Abbott,Harry Potter,Helena Ravenclaw,Hermione Granger,James Potter,Katie Bell,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Lucius Malfoy,Madam Malkin,Madam Rosmerta,Marcus Flint,Marjorie Dursley,Mary Cattermole,Mary Riddle,Minerva McGonagall,Molly Weasley,Neville Longbottom,Newt Scamander,Oliver Wood,Pansy Parkinson,Parvati Patil,Penelope Clearwater,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Poppy Pomfrey,Regulus Arcturus Black,Remus Lupin,Ronald Weasley,Rubeus Hagrid,Seamus Finnigan,Severus Snape,Sirius Black,Stan Shunpike,Sybill Patricia Trelawney,Tom Riddle,Vernon Dursley,Vincent Crabbe Jr,Vincent Crabbe Sr,Walden Macnair,William Weasley
"""Nearly Headless"" Nick",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albus Dumbledore,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.36,0.0,0.0,0.243055555556,0.0,0.25,0.0,0.0,0.438888888889,0.36,0.36,0.0,0.0,0.0,0.264565826331,0.29,0.295512820513,0.538888888889,0.0,0.255,0.0,0.591666666667,0.95,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.359583333333,0.257142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.414285714286,0.0,0.0,0.422266313933,0.75,0.422266313933,0.335454545455,0.219047619048,0.0916666666667,0.0,0.383366843034,0.30335978836,0.0,0.389166666667,0.0,0.0,0.0,0.0,0.161111111111,0.36
Alicia Spinnet,0.0,0.0,0.0,0.134920634921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120535714286,0.107142857143,0.0,0.0,0.0,0.0,0.410714285714,0.0,0.0,0.0,0.134920634921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angelina Johnson,0.0,0.0,0.134920634921,0.0,0.444444444444,0.0,0.0,0.444444444444,0.0,0.0,0.0,0.0,0.214285714286,0.0,0.0,0.34126984127,0.343915343915,0.444444444444,0.0,0.0,0.0,0.238095238095,0.0,0.0,0.0,0.134920634921,0.0,0.0,0.0,0.0,0.214285714286,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444
Arthur Weasley,0.0,0.36,0.0,0.444444444444,0.0,0.0,0.0,0.320190944533,0.0,0.0,0.3,0.0,0.352380952381,0.0,0.0,0.321984068326,0.318583654,0.323717781261,0.0,0.0,0.0,0.291444203944,0.0,0.418055555556,0.0,0.0,0.0,0.4375,0.0,0.0,0.352380952381,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.312227166773,0.0,0.0,0.293948412698,0.0,0.0,0.0,0.320476128809,0.2,0.0,0.442592592593,0.0,0.442592592593,0.0,0.322601010101,0.3,0.0,0.1,0.403703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323261119972
Bathilda Bagshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedric Diggory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489904761905,0.533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435297619048,0.0,0.0,0.533333333333,0.533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Weasley,0.0,0.36,0.0,0.444444444444,0.320190944533,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.352380952381,0.0,0.0,0.320311447811,0.316868892174,0.321987574864,0.0,0.0,0.0,0.291444203944,0.0,0.418055555556,0.0,0.0,0.0,0.4375,0.0,0.0,0.352380952381,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.313735899137,0.0,0.0,0.293948412698,0.0,0.0,0.0,0.318675793018,0.2,0.0,0.442592592593,0.0,0.442592592593,0.0,0.31825547138,0.3,0.0,0.1,0.403703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321487396487
Cho Chang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.49375,0.0,0.266666666667,0.125,0.0,0.0,0.266666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colin Creevey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
