,"""Nearly Headless"" Nick",Aberforth Dumbledore,Alastor Moody,Albus Dumbledore,Alicia Spinnet,Amos Diggory,Angelina Johnson,Antonin Dolohov,Arabella Figg,Argus Filch,Arthur Weasley,Augustus Rookwood,Bartemius Crouch Jr,Bartemius Crouch Sr,Bertha Jorkins,Cedric Diggory,Charlie Weasley,Cho Chang,Colin Creevey,Cornelius Fudge,Cuthbert Binns,Dean Thomas,Dennis Creevey,Draco Malfoy,Dudley Dursley,Ernie Macmillan,Fleur Delacour,Frank Bryce,Frank Longbottom,Fred Weasley,Gabrielle Delacour,George Weasley,Ginevra Weasley,Godric Gryffindor,Hannah Abbott,Harry Potter,Hermione Granger,Igor Karkaroff,James Potter,Justin Finch-Fletchley,Katie Bell,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Lucius Malfoy,Ludo Bagman,Madam Malkin,Madam Rosmerta,Mary Cattermole,Mary Riddle,Minerva McGonagall,Molly Weasley,Mundungus Fletcher,Narcissa Malfoy,Neville Longbottom,Newt Scamander,Oliver Wood,Olympe Maxime,Padma Patil,Pansy Parkinson,Parvati Patil,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Poppy Pomfrey,Regulus Arcturus Black,Remus Lupin,Rita Skeeter,Ronald Weasley,Rubeus Hagrid,Seamus Finnigan,Severus Snape,Sirius Black,Stan Shunpike,Susan Bones,Sybill Patricia Trelawney,Ted Tonks,Tom Riddle,Vernon Dursley,Viktor Krum,Vincent Crabbe Jr,Vincent Crabbe Sr,William Weasley
"""Nearly Headless"" Nick",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393888888889,0.0,0.429259259259,0.543888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.480277777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberforth Dumbledore,0.0,0.0,0.329974647266,0.314194359176,0.0,0.333333333333,0.0,0.0,0.0,0.645833333333,0.2921875,0.0,0.279043839758,0.267822636301,0.375925925926,0.255555555556,0.325520833333,0.0,0.0,0.460472222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0867857142857,0.0,0.0,0.392774470899,0.0,0.299917328042,0.3421875,0.0,0.0,0.310992012617,0.482249455338,0.233286092215,0.162736205593,0.0,0.0,0.0,0.0,0.162736205593,0.325784313725,0.0,0.40762987013,0.405925925926,0.366049382716,0.0,0.0,0.515707070707,0.364973958333,0.0,0.0,0.475,0.0,0.0,0.301008597884,0.0,0.0,0.0,0.348798363095,0.407407407407,0.0,0.428472222222,0.488518518519,0.428472222222,0.0,0.616600529101,0.338321458634,0.302252791069,0.0,0.242904761905,0.438001253133,0.0,0.0,0.0,0.0,0.0,0.0,0.243526785714,0.0,0.0,0.375520833333
Alastor Moody,0.0,0.329974647266,0.0,0.312476231812,0.0,0.0,0.0,0.0,0.0,0.416944444444,0.407046296296,0.0,0.334375,0.334090909091,0.0,0.62380952381,0.488455555556,0.0,0.0,0.0,0.0,0.0,0.0,0.582666666667,0.0,0.0,0.0,0.0,0.0,0.511675925926,0.0,0.510007936508,0.488455555556,0.176666666667,0.0,0.377086772487,0.387361111111,0.330714285714,0.434065934066,0.0,0.292222222222,0.5875,0.0,0.434065934066,0.376587301587,0.582666666667,0.330864197531,0.481481481481,0.501234567901,0.0,0.0,0.220476190476,0.524046296296,0.0,0.582666666667,0.325669642857,0.0,0.3625,0.0,0.0,0.0,0.5,0.488455555556,0.0,0.0,0.716666666667,0.477407407407,0.716666666667,0.627777777778,0.0666666666667,0.372024644946,0.244444444444,0.0,0.27537037037,0.479365079365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.532046296296
Albus Dumbledore,0.0,0.314194359176,0.312476231812,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.645833333333,0.2921875,0.0,0.282593795094,0.271544312169,0.375925925926,0.255555555556,0.325520833333,0.0,0.0,0.460472222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0867857142857,0.0,0.0,0.392774470899,0.0,0.299917328042,0.3421875,0.0,0.0,0.308942729767,0.465696881092,0.233286092215,0.197589653145,0.0,0.0,0.0,0.0,0.197589653145,0.344122807018,0.0,0.40762987013,0.338271604938,0.313756613757,0.0,0.0,0.472731481481,0.364973958333,0.0,0.0,0.475,0.0,0.0,0.301008597884,0.0,0.0,0.0,0.348798363095,0.407407407407,0.0,0.428472222222,0.407098765432,0.428472222222,0.0,0.64503968254,0.338321458634,0.319640151515,0.0,0.233562271062,0.438001253133,0.0,0.0,0.0,0.0,0.0,0.0,0.243526785714,0.0,0.0,0.375520833333
Alicia Spinnet,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amos Diggory,0.0,0.333333333333,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.201851851852,0.0,0.348106060606,0.348106060606,0.0,0.198977638353,0.213725490196,0.427777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213725490196,0.0,0.213725490196,0.191228070175,0.230555555556,0.0,0.31078042328,0.0,0.0,0.333333333333,0.0,0.230555555556,0.7,0.0,0.333333333333,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.215151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.201851851852,0.0,0.166666666667,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.320833333333,0.0,0.0,0.22962962963
Angelina Johnson,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134722222222,0.0,0.0,0.0,0.352777777778,0.0,0.269444444444,0.244444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.361111111111,0.0,0.361111111111,0.0,0.0,0.269444444444,0.0,0.0,0.0,0.361111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonin Dolohov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arabella Figg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argus Filch,0.0,0.645833333333,0.416944444444,0.645833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.352188208617,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716666666667,0.0,0.716666666667,0.0,0.0,0.0,0.0,0.0,0.261777777778,0.716666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
