,Harry Potter,Ronald Weasley,Albus Dumbledore,Hermione Granger,Ginevra Weasley,Draco Malfoy,Lord Voldemort,Horace Slughorn,Narcissa Malfoy,Severus Snape,Lucius Malfoy,Molly Weasley,Fred Weasley,George Weasley,William Weasley,Arthur Weasley,Percy Weasley,Rubeus Hagrid,Charlie Weasley,Tom Riddle,Sirius Black,Phineas Nigellus Black,Mary Riddle,Morfin Gaunt,James Potter,Regulus Arcturus Black,Lily Potter,Rufus Scrimgeour,Madam Rosmerta,Cornelius Fudge
Harry Potter,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,0,1,1,1,0
Ronald Weasley,1,1,1,1,1,-1,-1,0,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,1,1,0
Albus Dumbledore,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,1,0,1,1,1,1
Hermione Granger,1,1,1,1,1,-1,-1,0,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,1,1,0
Ginevra Weasley,1,1,1,1,1,-1,-1,0,-1,0,-1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0,0
Draco Malfoy,-1,-1,1,-1,-1,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0
Lord Voldemort,-1,-1,-1,-1,-1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,-1,-1,0,-1,0,0,0
Horace Slughorn,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Narcissa Malfoy,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0
Severus Snape,-1,-1,1,-1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0
Lucius Malfoy,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0
Molly Weasley,1,1,1,1,1,-1,-1,0,-1,0,-1,1,1,1,1,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0
Fred Weasley,1,1,1,1,1,-1,-1,0,-1,0,-1,1,1,1,1,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0
George Weasley,1,1,1,1,1,-1,-1,0,-1,0,-1,1,1,1,1,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0
William Weasley,1,1,1,1,1,-1,-1,0,-1,0,-1,1,1,1,1,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0
Arthur Weasley,1,1,1,1,1,-1,-1,0,-1,0,-1,1,1,1,1,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0
Percy Weasley,1,1,1,1,1,-1,-1,0,-1,0,-1,1,1,1,1,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0
Rubeus Hagrid,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0
Charlie Weasley,1,1,1,1,1,-1,-1,0,-1,0,-1,1,1,1,1,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0
Tom Riddle,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,0,-1,0,0,0
Sirius Black,1,1,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,-1,1,0,0,0
Phineas Nigellus Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mary Riddle,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0
Morfin Gaunt,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0
James Potter,1,0,1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,1,0,0,0
Regulus Arcturus Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0
Lily Potter,1,0,1,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,1,0,0,0
Rufus Scrimgeour,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madam Rosmerta,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cornelius Fudge,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
